Riddle,Answer,Hint
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,You type on it
What gets sharper the more you use it?,Your brain,It's your thinking organ
"What has a mouth but doesn't eat, has a bank but no money?",A river,It's a natural water flow
"What has cities but no houses, forests but no trees, and rivers but no water?",A map,It represents geography
What has words but never speaks?,A book,It's full of written content
What runs around a house but doesn't move?,A fence,It surrounds property
What can travel around the world while staying in a corner?,A stamp,It's used on mail
"What has keys but no locks, space but no room, you can enter but not go in?",A keyboard,It's used for typing
What has a head and a tail that are only made of gold?,A coin,It's used as currency
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
What goes up and down but doesn't move?,Stairs,They're in buildings
What has hundreds of ears but can't hear a thing?,A cornfield,It's full of corn
What has four eyes but can't see?,Mississippi,It's a word with repeated letters
What is always on its way but never arrives?,Tomorrow,It's always in the future
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What has teeth but doesn't bite?,A comb,It's used for hair
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
"What can you hold in your right hand, but not in your left?",Your left hand,It's a part of your body
What has legs but doesn't walk?,A table,It's a piece of furniture
What can you catch but not throw?,A cold,It's an illness
What has many teeth but can't bite?,A comb,It's used for hair
"What has keys but no locks, space but no room, you can enter but can't go in?",A keyboard,It's used for typing
What gets wetter as it dries?,A towel,It's used after bathing
What has a face and two hands but no arms or legs?,A clock,It tells time
What can travel all around the world without leaving its corner?,A stamp,It's used on envelopes
What has a neck but no head?,A bottle,You drink from it
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What goes up but never comes down?,Age,It only increases
What gets broken without being held?,A promise,It's a verbal commitment
What runs around the whole yard without moving?,A fence,It surrounds an area
What can you keep after giving it to someone?,Your word,It's a verbal promise
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What has a head and a tail but no body?,A coin,It's used as currency
What's full of holes but still holds water?,A sponge,It's used for cleaning
What's always coming but never arrives?,Tomorrow,It's always in the future
"What goes through cities and fields, but never moves?",A road,It's a path for travel
What has a thumb and four fingers but is not alive?,A glove,You wear it on your hand
What building has the most stories?,A library,Think about books
What tastes better than it smells?,A tongue,It's in your mouth
"What starts with 'e', ends with 'e', and contains one letter?",An envelope,It carries mail
What has 13 hearts but no other organs?,A deck of cards,It's used for games
What gets bigger when you take away from it?,A hole,Removing material enlarges it
"What has branches but no fruit, trunk or leaves?",A bank,It deals with money
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
What can fill a room but takes up no space?,Light,It illuminates
What has legs but doesn't walk?,A chair,It's for sitting
What can you catch but not throw?,A cold,It's an illness
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,You type on it
What gets sharper the more you use it?,Your brain,It's your thinking organ
"What has a mouth but doesn't eat, has a bank but no money?",A river,It's a natural water flow
"What has cities but no houses, forests but no trees, and rivers but no water?",A map,It represents geography
What has words but never speaks?,A book,It's full of written content
What runs around a house but doesn't move?,A fence,It surrounds property
What can travel around the world while staying in a corner?,A stamp,It's used on mail
"What has keys but no locks, space but no room, you can enter but not go in?",A keyboard,It's used for typing
What has a head and a tail that are only made of gold?,A coin,It's used as currency
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
What goes up and down but doesn't move?,Stairs,They're in buildings
What has hundreds of ears but can't hear a thing?,A cornfield,It's full of corn
What has four eyes but can't see?,Mississippi,It's a word with repeated letters
What is always on its way but never arrives?,Tomorrow,It's always in the future
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What has teeth but doesn't bite?,A comb,It's used for hair
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
"What can you hold in your right hand, but not in your left?",Your left hand,It's a part of your body
"What has roots that nobody sees, is taller than trees, up it goes, and yet never grows?",A mountain,It's a large natural formation
"What's black when you get it, red when you use it, and white when you're all through with it?",Charcoal,It's used for grilling
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,It provides heat and light
"What belongs to you, but other people use it more than you?",Your name,It's how people address you
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,It represents geographic features
"What occurs once in a minute, twice in a moment, and never in a thousand years?",The letter M,Look at the spelling of the words
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,It's used for writing
"What has a head, a tail that is not a tail, but never any legs?",A coin,It's used as currency
"The more you take, the more you leave behind. What am I?",Footsteps,You make these as you walk
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What kind of room has no doors or windows?,A mushroom,It's a type of fungus
What's made of water but if you put it into water it will die?,An ice cube,It's frozen water
"I am light as a feather, but even the strongest man can't hold me for more than a few minutes. What am I?",Breath,It's essential for life
"What starts with ""e"" and ends with ""e"" but only has one letter in it?",An envelope,It's used to mail letters
"I have no life, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,It provides warmth and light
What has one eye but cannot see?,A needle,It's used for sewing
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What goes through towns and over hills but never moves?,A road,It's a path for travel
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,It's used for writing
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing
What can fill a room but takes up no space?,Light,It illuminates without occupying space
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",An echo,It's a reflection of sound
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What gets wet while drying?,A towel,It's used after bathing
What can you catch but not throw?,A cold,It's an illness
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,It's used as currency
What has a thumb and four fingers but is not alive?,A glove,It's worn on the hand
What has legs but doesn't walk?,A table,It's a piece of furniture
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What goes up and down but doesn't move?,Stairs,They're found in buildings
What has many teeth but can't bite?,A comb,It's used for hair
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,It represents geographic features
What has a face and two hands but no arms or legs?,A clock,It tells time
What gets broken without being held?,A promise,It's an intangible commitment
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M,Look at the spelling of the words
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,It provides heat and light
What can travel around the world while staying in a corner?,A stamp,It's used on envelopes
What has a head and a tail that are only made of gold?,A coin,It's used as currency
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",An echo,It's a reflection of sound
"What can you break, even if you never pick it up or touch it?",A promise,It's an intangible commitment
"What has many keys, but no locks; space, but no room; you can enter, but not go in?",A keyboard,It's used for typing
What gets wetter and wetter the more it dries?,A towel,It's used after bathing
What goes up but never comes down?,Your age,It only increases over time
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,It deals with money
What can you catch but not throw?,A cold,It's an illness
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"I'm full of holes, but I still hold water. What am I?",A sponge,It's used for cleaning
"What has many teeth, but can't bite?",A comb,It's used on hair
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,It's used as currency
What has a neck but no head?,A bottle,It holds liquids
"What can you break, even if you never pick it up or touch it?",A promise,It's an intangible commitment
What goes up and down but doesn't move?,Stairs,They're found in buildings
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing
What gets bigger when you take away from it?,A hole,Removing material makes it larger
"What starts with the letter ""t"", is filled with ""t"" and ends in ""t""?",A teapot,It's used to brew tea
What has a thumb and four fingers but is not alive?,A glove,It's worn on the hand
What building has the most stories?,A library,Think about books
What has a face and two hands but no arms or legs?,A clock,It tells time
"What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?",A mountain,It's a natural formation
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,It provides heat and light
"What belongs to you, but other people use it more than you?",Your name,It's how people address you
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,It represents geographic features
"What occurs once in a minute, twice in a moment, and never in a thousand years?",The letter M,Look at the spelling of the words
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,It's used for writing
"What has a head, a tail that is not a tail, but never any legs?",A coin,It's used as currency
"The more you take, the more you leave behind. What am I?",Footsteps,You make these as you walk
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What kind of room has no doors or windows?,A mushroom,It's a type of fungus
What's made of water but if you put it into water it will die?,An ice cube,It's frozen water
"I am light as a feather, but even the strongest man can't hold me for more than a few minutes. What am I?",Breath,It's essential for life
"What starts with ""e"" and ends with ""e"" but only has one letter in it?",An envelope,It's used to mail letters
"I have no life, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,It provides warmth and light
What has one eye but cannot see?,A needle,It's used for sewing
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What goes through towns and over hills but never moves?,A road,It's a path for travel
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",Pencil lead,It's used for writing
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing
What can fill a room but takes up no space?,Light,It illuminates without occupying space
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",An echo,It's a reflection of sound
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What gets wet while drying?,A towel,It's used after bathing
What can you catch but not throw?,A cold,It's an illness
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,It's used as currency
What has a thumb and four fingers but is not alive?,A glove,It's worn on the hand
What has legs but doesn't walk?,A table,It's a piece of furniture
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,It consumes fuel to keep burning
What goes up and down but doesn't move?,Stairs,They're found in buildings
What has many teeth but can't bite?,A comb,It's used for hair
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,It represents geographic features
What has a face and two hands but no arms or legs?,A clock,It tells time
What gets broken without being held?,A promise,It's an intangible commitment
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,It's used for typing
What invention lets you look right through a wall?,A window,It's made of transparent material
What can you hold without ever touching or using your hands?,Your breath,It's something you can control
"What can run but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
What building has the most stories?,A library,"Think about books, not floors"
"What has cities, but no houses; forests, but no trees; rivers, but no water?",A map,It represents geographical features
What can travel around the world while staying in a corner?,A stamp,It's used on envelopes
"What has 13 hearts, but no other organs?",A deck of cards,It's used for games
What gets sharper the more you use it?,Your mind,It's your thinking organ
"What has keys, but no locks; space, but no room; you can enter, but can't exit?",A keyboard,You use it to type
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What has a neck but no head?,A bottle,You drink from it
"What can you catch, but not throw?",A cold,It's an illness
"What has many needles, but doesn't sew?",A pine tree,It's an evergreen
"What has legs, but doesn't walk?",A table,It's a piece of furniture
"What can you break, even if you never pick it up or touch it?",A promise,It's an intangible commitment
"What goes up, but never comes down?",Your age,It only increases
What gets broken without being held?,A promise,It's a verbal commitment
What runs around the whole yard without moving?,A fence,It surrounds an area
What can you keep after giving to someone?,Your word,It's a verbal promise
"What has many keys, but can't open a single lock?",A piano,It's a musical instrument
What has a head and a tail that will never meet?,A coin,It's used as currency
What's full of holes but still holds water?,A sponge,It's used for cleaning
What's always coming but never arrives?,Tomorrow,It's always in the future
"What goes through cities and fields, but never moves?",A road,It's a path for travel
What has a thumb and four fingers but is not alive?,A glove,You wear it on your hand
What tastes better than it smells?,A tongue,It's in your mouth
"What starts with 'e', ends with 'e', and contains one letter?",An envelope,It carries mail
What gets bigger when you take away from it?,A hole,Removing material enlarges it
What can fill a room but takes up no space?,Light,It illuminates
What has legs but doesn't walk?,A chair,It's for sitting
What can you catch but not throw?,A cold,It's an illness
What gets sharper the more you use it?,Your brain,It's your thinking organ
"What has a mouth but doesn't eat, has a bank but no money?",A river,It's a natural water flow
What has words but never speaks?,A book,It's full of written content
What runs around a house but doesn't move?,A fence,It surrounds property
What has hundreds of ears but can't hear a thing?,A cornfield,It's full of corn
What has four eyes but can't see?,Mississippi,It's a word with repeated letters
"What's black when you get it, red when you use it, and white when you're all through with it?",Charcoal,It's used for grilling
"What belongs to you, but other people use it more than you?",Your name,It's how people address you
What kind of room has no doors or windows?,A mushroom,It's a type of fungus
What's made of water but if you put it into water it will die?,An ice cube,It's frozen water
What has one eye but cannot see?,A needle,It's used for sewing
"What can you hold in your right hand, but not in your left?",Your left hand,It's a part of your body
What has a bottom at the top?,Your legs,They're part of your body
What inventions lets you look right through a wall?,A window,It's made of glass
What can you catch but not throw?,A cold,It's an illness
What has many teeth but can't bite?,A saw,It's used for cutting
What has a head and a tail but no body?,A coin,It's used as currency
What room do ghosts avoid?,The living room,It's a play on words
What has a face and two hands but no arms or legs?,A clock,It tells time
"What has keys but no locks, space but no room, and you can enter but can't go in?",A keyboard,It's used for typing
What gets wetter as it dries?,A towel,It's used after bathing
What has a neck but no head?,A bottle,You drink from it
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What goes up but never comes down?,Age,It only increases
What gets broken without being held?,A promise,It's a verbal commitment
What runs around the whole yard without moving?,A fence,It surrounds an area
What can you keep after giving it to someone?,Your word,It's a verbal promise
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What has a head and a tail but no body?,A coin,It's used as currency
What's full of holes but still holds water?,A sponge,It's used for cleaning
What's always coming but never arrives?,Tomorrow,It's always in the future
"What goes through cities and fields, but never moves?",A road,It's a path for travel
What has a thumb and four fingers but is not alive?,A glove,You wear it on your hand
What building has the most stories?,A library,Think about books
What tastes better than it smells?,A tongue,It's in your mouth
"What starts with 'e', ends with 'e', and contains one letter?",An envelope,It carries mail
What has 13 hearts but no other organs?,A deck of cards,It's used for games
What gets bigger when you take away from it?,A hole,Removing material enlarges it
"What has branches but no fruit, trunk or leaves?",A bank,It deals with money
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,It's a natural water flow
What can fill a room but takes up no space?,Light,It illuminates
What has legs but doesn't walk?,A chair,It's for sitting
What can you catch but not throw?,A cold,It's an illness
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,You type on it
What gets sharper the more you use it?,Your brain,It's your thinking organ
"What has a mouth but doesn't eat, has a bank but no money?",A river,It's a natural water flow
"What has cities but no houses, forests but no trees, and rivers but no water?",A map,It represents geography
What has words but never speaks?,A book,It's full of written content
What runs around a house but doesn't move?,A fence,It surrounds property
What can travel around the world while staying in a corner?,A stamp,It's used on mail
What has hundreds of ears but can't hear a thing?,A cornfield,It's full of corn
What has four eyes but can't see?,Mississippi,It's a word with repeated letters
What is always on its way but never arrives?,Tomorrow,It's always in the future
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What has teeth but doesn't bite?,A comb,It's used for hair
"What can you hold in your right hand, but not in your left?",Your left hand,It's a part of your body
What has a bottom at the top?,Your legs,They're part of your body
What inventions lets you look right through a wall?,A window,It's made of glass
What can you catch but not throw?,A cold,It's an illness
What has many teeth but can't bite?,A saw,It's used for cutting
What has a head and a tail but no body?,A coin,It's used as currency
What room do ghosts avoid?,The living room,It's a play on words
"What has keys but no locks, space but no room, you can enter but not go in?",A keyboard,It's used for typing
What gets wetter as it dries?,A towel,It's used after bathing
What has a neck but no head?,A bottle,You drink from it
"What can be cracked, made, told, and played?",A joke,It's meant to be funny
What goes up but never comes down?,Age,It only increases
What gets broken without being held?,A promise,It's a verbal commitment
What runs around the whole yard without moving?,A fence,It surrounds an area
What can you keep after giving it to someone?,Your word,It's a verbal promise
What has many keys but can't open a single lock?,A piano,It's a musical instrument
What has a head and a tail but no body?,A coin,It's used as currency
What's full of holes but still holds water?,A sponge,It's used for cleaning
What's always coming but never arrives?,Tomorrow,It's always in the future
"What goes through cities and fields, but never moves?",A road,It's a path for travel
